snapshot_date,rank,referrer,count,uniques
2026-05-30,1,github.com,34,8
2026-05-31,1,github.com,33,7
2026-06-01,1,github.com,34,7
2026-06-02,1,github.com,34,7
2026-06-03,1,github.com,34,7
2026-06-04,1,github.com,20,6
2026-06-05,1,github.com,20,6
2026-06-06,1,github.com,15,4
2026-06-07,1,github.com,18,4
2026-06-08,1,github.com,24,5
2026-06-09,1,github.com,24,5
2026-06-10,1,github.com,23,6
2026-06-11,1,github.com,19,5
2026-06-12,1,github.com,19,5
2026-06-13,1,github.com,19,5
2026-06-14,1,github.com,25,5
2026-06-15,1,github.com,24,5
2026-06-16,1,github.com,24,5
2026-06-17,1,github.com,29,6
2026-06-18,1,github.com,29,6
2026-06-19,1,github.com,34,8
2026-06-20,1,github.com,35,8
2026-06-21,1,github.com,36,10
2026-06-22,1,github.com,31,9
2026-06-23,1,github.com,30,8
2026-06-24,1,github.com,34,10
2026-06-25,1,github.com,34,10
2026-06-26,1,github.com,35,10
